company,reviews,salaries,jobs,benefits,photos
TCS,75k,853.7k,822,11.6k,77
Accenture,47.5k,584.8k,29.5k,7.2k,39
Cognizant,42.8k,562.1k,447,5.9k,63
Wipro,40.4k,427k,221,5k,79
Capgemini,34.9k,415.1k,627,4.1k,36
HDFC Bank,34.7k,130.9k,199,3.3k,5
ICICI Bank,34.3k,141k,38,3.8k,48
Infosys,32.7k,459.4k,756,5.2k,90
HCLTech,29.3k,295.9k,206,4.1k,35
Tech Mahindra,28.3k,253k,866,3.6k,43
Genpact,26.8k,188.2k,575,3.7k,37
Axis Bank,22.4k,97.3k,174,2.2k,53
Teleperformance,22.7k,84.5k,356,2k,31
Concentrix Corporation,22.3k,106.4k,76,3.3k,37
Jio,21k,66.5k,150,2.6k,44
Amazon,21.1k,121.5k,141,4.2k,73
IBM,20.1k,217.4k,2.5k,2.8k,20
Reliance Retail,19.3k,59.6k,129,2k,101
HDB Financial Services,18.5k,49.5k,164,1.5k,33
Larsen & Toubro Limited,16.9k,77.9k,136,2.9k,36
Vodafone Idea,15.5k,57.6k,10,2.1k,10
BYJU'S,15k,59.3k,516,1.9k,26
Kotak Mahindra Bank,14.6k,77.8k,27,1.3k,22
Deloitte,14.3k,178k,82,2.6k,22
Reliance Industries ,14k,65.5k,12,1.9k,33
iEnergizer,14.8k,18.7k,297,535,17
Bharti Airtel,12.5k,43.7k,162,1.6k,75
Tata Motors,10.7k,41.6k,74,1.8k,14
WNS,9.9k,54.6k,98,1.4k,11
Flipkart,9.5k,47.3k,211,1.5k,89
IndusInd Bank,9.4k,46.2k,179,801,6
Ernst & Young,9.2k,124.3k,260,1.3k,4
AU Small Finance Bank,8.9k,18.4k,76,489,10
Mahindra & Mahindra,8.9k,36.3k,19,1.3k,8
Infosys BPM ,8.5k,59.4k,78,1.2k,12
DXC Technology,8.5k,80.5k,2,1.2k,4
IDFC FIRST Bank,8.5k,40.8k,65,726,29
Conneqt Business Solutions,8k,25.3k,448,810,16
LTIMindtree,8k,97.3k,176,855,20
HDFC Life,7.9k,29.1k,202,646,34
Bajaj Finserv,7.8k,25.8k,39,754,3
Mphasis,7.2k,64.6k,155,897,10
PwC,7.2k,83.6k,1.1k,868,22
HSBC Group,6.9k,60.3k,3,1.2k,4
Startek,6.9k,22.8k,69,723,6
Hinduja Global Solutions,6.8k,24.4k,46,1k,31
Samsung,6.8k,27k,23,570,10
Ericsson,6.7k,43.4k,375,1k,18
Maruti Suzuki,6.7k,25k,13,1.1k,13
Shriram Finance,6.6k,13k,41,49,20
Asian Paints,6.5k,21.7k,23,912,25
Yes Bank,6.5k,40.5k,8,628,9
Cipla,6.3k,23.8k,51,904,17
Dr. Reddy's,6.1k,23.7k,149,884,21
Sutherland Global Services,6.1k,27.4k,293,941,22
Paytm,6.2k,30.9k,109,590,19
Bandhan Bank,6.1k,19.9k,15,537,10
UltraTech Cement,6k,21.2k,7,655,28
EXL Service,6k,37.5k,76,860,13
NTT DATA,6k,51.6k,107,779,16
ICICI Prudential Life Insurance,5.8k,21.8k,119,636,7
 Bajaj Finance,5.7k,19.3k,12,524,4
Jana Small Finance Bank,5.7k,14.5k,65,632,7
Lupin,5.5k,22k,36,822,7
Indian Army,5.4k,9.5k,--,764,2
HCL Group,5.4k,67.7k,--,698,--
